"","station","valid","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","Date","Time","Hour","tmpc","dwpc","sms","p01mm","altmb","gustms"
"2252","0CO",2023-12-04 05:55:00,15.8,12.2,85.4,NA,NA,0,30.12,NA,0.5,NA,"BKN",2023-12-04,"05:55","2023/12/04 05",-9,-11,NA,0,844.251414080988,NA
"2253","0CO",2023-12-04 06:55:00,14,12.2,92.38,300,35,0,30.13,NA,1,53,"BKN",2023-12-04,"06:55","2023/12/04 06",-10,-11,18.519984,0,844.625224758022,NA
"2254","0CO",2023-12-04 07:55:00,14,12.2,92.38,320,22,0,30.22,NA,0.25,28,"OVC",2023-12-04,"07:55","2023/12/04 07",-10,-11,15.0903573333333,0,846.213920135416,23.14998
"2255","0CO",2023-12-04 08:55:00,15.8,12.2,85.4,300,28,0,30.23,NA,7,36,"CLR",2023-12-04,"08:55","2023/12/04 08",-9,-11,12.6896186666667,0,847.80261551281,NA
"2256","0CO",2023-12-04 09:55:00,17.6,14,85.51,NA,NA,0,30.12,NA,0.75,NA,"BKN",2023-12-04,"09:55","2023/12/04 09",-8.66666666666667,-10.3333333333333,NA,0,846.120467466157,NA
"2257","0CO",2023-12-04 10:55:00,17.6,14,85.51,NA,NA,0,30.09,NA,0.5,NA,"BKN",2023-12-04,"10:55","2023/12/04 10",-8,-10,NA,0,844.251414080988,NA
"2258","0CO",2023-12-04 11:55:00,17.6,14,85.51,310,45,0,30.12,NA,0.5,NA,"OVC",2023-12-04,"11:55","2023/12/04 11",-8,-9.66666666666667,NA,0,844.531772088763,NA
"2259","0CO",2023-12-04 12:55:00,19.4,15.8,85.63,300,38,0,30.15,NA,10,46,"SCT",2023-12-04,"12:55","2023/12/04 12",-7.33333333333333,-9,19.034428,0,845.372846112089,26.751088
"2260","0CO",2023-12-04 13:55:00,19.4,17.6,92.57,320,31,0,30.2,NA,3,44,"SCT",2023-12-04,"13:55","2023/12/04 13",-7,-8.66666666666667,15.7762826666667,0,846.494278143191,23.14998
"2261","0CO",2023-12-04 14:55:00,17.6,15.8,92.5,330,35,0,30.2,NA,0.25,44,"OVC",2023-12-04,"14:55","2023/12/04 14",-8,-9,16.2907266666667,0,846.681183481708,22.635536
"2262","0CO",2023-12-04 15:55:00,17.6,14,85.51,NA,NA,0,30.23,NA,0.25,NA,"OVC",2023-12-04,"15:55","2023/12/04 15",-8,-9.33333333333333,NA,0,847.615710174293,NA
"2263","0CO",2023-12-04 16:55:00,17.6,14,85.51,NA,NA,0,30.23,NA,0.5,NA,"OVC",2023-12-04,"16:55","2023/12/04 16",-8,-10,NA,0,847.709162843551,NA
"2264","0CO",2023-12-04 17:55:00,17.6,14,85.51,300,42,0,30.23,NA,0.5,NA,"BKN",2023-12-04,"17:55","2023/12/04 17",-8,-10,18.6914653333333,0,848.269878859102,NA
"2265","0CO",2023-12-04 18:55:00,17.6,14,85.51,320,34,0,30.28,NA,0.5,47,"OVC",2023-12-04,"18:55","2023/12/04 18",-8,-10,18.1770213333333,0,848.550236866877,25.207756
"2266","0CO",2023-12-04 19:55:00,17.6,14,85.51,330,31,0,30.32,NA,0.25,41,"OVC",2023-12-04,"19:55","2023/12/04 19",-8,-10,15.2618386666667,0,849.671668897979,21.606648
"2267","0CO",2023-12-04 20:55:00,17.6,14,85.51,340,33,0,30.34,NA,NA,43,"OVC",2023-12-04,"20:55","2023/12/04 20",-8,-10,15.43332,0,850.419290252046,22.121092
"2268","0CO",2023-12-04 21:55:00,17.6,14,85.51,340,26,0,30.37,NA,NA,42,"OVC",2023-12-04,"21:55","2023/12/04 21",-8,-10,14.918876,0,850.980006267597,21.606648
"2269","0CO",2023-12-04 22:55:00,15.8,14,92.44,360,12,0,30.4,NA,NA,34,"OVC",2023-12-04,"22:55","2023/12/04 22",-8.33333333333333,-10,11.317768,0,851.914532960182,19.034428
"2270","0CO",2023-12-04 23:55:00,15.8,14,92.44,330,28,0,30.38,NA,NA,38,"OVC",2023-12-04,"23:55","2023/12/04 23",-8.66666666666667,-10,13.2040626666667,0,851.914532960182,19.548872
"2271","0CO",2023-12-05 00:55:00,15.8,12.2,85.4,340,27,0,30.38,NA,NA,33,"OVC",2023-12-05,"00:55","2023/12/05 00",-9,-10.3333333333333,13.0325813333333,0,851.727627621665,18.00554
"2272","0CO",2023-12-05 01:55:00,14,12.2,92.38,330,30,0.01,30.36,NA,NA,36,"OVC",2023-12-05,"01:55","2023/12/05 01",-10,-11,14.5759133333333,1.524,851.353816944631,18.519984
"2273","0CO",2023-12-05 02:55:00,14,12.2,92.38,320,31,0,30.39,NA,NA,40,"OVC",2023-12-05,"02:55","2023/12/05 02",-10,-11,14.918876,0,851.821080290924,NA
"2274","0CO",2023-12-05 03:55:00,14,12.2,92.38,330,30,0,30.38,NA,NA,NA,"OVC",2023-12-05,"03:55","2023/12/05 03",-10,-11,NA,0,851.727627621665,NA
"2275","0CO",2023-12-05 04:55:00,14,12.2,92.38,320,33,0,30.37,NA,10,46,"CLR",2023-12-05,"04:55","2023/12/05 04",-10,-11,16.8051706666667,0,851.634174952407,23.664424
"2276","0CO",2023-12-05 05:55:00,14,12.2,92.38,330,34,0,30.38,NA,10,41,"CLR",2023-12-05,"05:55","2023/12/05 05",-10,-11,17.491096,0,851.727627621665,24.178868
"2277","0CO",2023-12-05 06:55:00,14,12.2,92.38,340,28,0,30.43,NA,10,38,"SCT",2023-12-05,"06:55","2023/12/05 06",-9.33333333333333,-10.6666666666667,15.7762826666667,0,852.755606983508,22.635536
"2278","0CO",2023-12-05 07:55:00,17.6,14,85.51,340,21,0,30.46,NA,10,31,"SCT",2023-12-05,"07:55","2023/12/05 07",-8.66666666666667,-10.3333333333333,13.2040626666667,0,853.503228337576,19.034428
"2279","0CO",2023-12-05 08:55:00,17.6,14,85.51,340,21,0.02,30.5,NA,10,30,"SCT",2023-12-05,"08:55","2023/12/05 08",-8.66666666666667,-10.3333333333333,10.803324,2.286,854.531207699419,18.00554
"2280","0CO",2023-12-05 09:55:00,19.4,15.8,85.63,340,15,0,30.53,NA,10,26,"CLR",2023-12-05,"09:55","2023/12/05 09",-7.66666666666667,-9.33333333333333,9.08851066666667,0,855.652639730521,15.43332
"2281","0CO",2023-12-05 10:55:00,19.4,17.6,92.57,320,18,0,30.54,NA,10,22,"CLR",2023-12-05,"10:55","2023/12/05 10",-7.33333333333333,-8.33333333333333,9.259992,0,856.30680841533,13.889988
"2282","0CO",2023-12-05 11:55:00,19.4,17.6,92.57,330,15,0,30.54,NA,10,23,"CLR",2023-12-05,"11:55","2023/12/05 11",-7,-8,7.88814133333333,0,856.213355746071,11.832212
"2283","0CO",2023-12-05 12:55:00,21.2,19.4,92.63,320,9,0,30.54,NA,10,15,"CLR",2023-12-05,"12:55","2023/12/05 12",-6.66666666666667,-7.66666666666667,6.173328,0,856.213355746071,11.832212
"2284","0CO",2023-12-05 13:55:00,21.2,19.4,92.63,300,13,0.01,30.55,NA,10,17,"CLR",2023-12-05,"13:55","2023/12/05 13",-6,-7,6.51629066666667,1.524,856.30680841533,9.774436
"2285","0CO",2023-12-05 14:55:00,23,21.2,92.69,310,8,0,30.55,NA,10,20,"CLR",2023-12-05,"14:55","2023/12/05 14",-5.66666666666667,-6.33333333333333,5.658884,0,856.587166423105,NA
"2286","0CO",2023-12-05 15:55:00,23,19.4,85.85,340,16,0,30.55,NA,10,23,"CLR",2023-12-05,"15:55","2023/12/05 15",-5,-6.66666666666667,8.05962266666667,0,856.493713753847,12.8611
"2287","0CO",2023-12-05 16:55:00,23,17.6,79.47,320,17,0,30.56,NA,10,NA,"CLR",2023-12-05,"16:55","2023/12/05 16",-5,-7.33333333333333,8.05962266666667,0,856.680619092364,NA
"2288","0CO",2023-12-05 17:55:00,23,17.6,79.47,320,22,0,30.55,NA,10,NA,"CLR",2023-12-05,"17:55","2023/12/05 17",-5,-8,11.4892493333333,0,856.493713753847,NA
"2289","0CO",2023-12-05 18:55:00,23,17.6,79.47,310,25,0,30.55,NA,10,NA,"CLR",2023-12-05,"18:55","2023/12/05 18",-5,-8,12.1751746666667,0,856.493713753847,NA
"2290","0CO",2023-12-05 19:55:00,23,17.6,79.47,340,23,0,30.55,NA,10,31,"CLR",2023-12-05,"19:55","2023/12/05 19",-5,-8,12.1751746666667,0,856.493713753847,NA
"2291","0CO",2023-12-05 20:55:00,23,17.6,79.47,330,26,0,30.55,NA,10,31,"CLR",2023-12-05,"20:55","2023/12/05 20",-5,-8,11.832212,0,856.680619092364,15.947764
"2292","0CO",2023-12-05 21:55:00,24.8,14,63.03,330,25,0,30.55,NA,10,30,"CLR",2023-12-05,"21:55","2023/12/05 21",-4.33333333333333,-10,11.832212,0,856.493713753847,16.976652
"2293","0CO",2023-12-05 22:55:00,26.6,12.2,54.03,330,25,0,30.55,NA,10,32,"CLR",2023-12-05,"22:55","2023/12/05 22",-3,-11,11.4892493333333,0,856.587166423105,16.976652
"2294","0CO",2023-12-05 23:55:00,23,14,67.96,340,21,0,30.55,NA,10,29,"CLR",2023-12-05,"23:55","2023/12/05 23",-3.66666666666667,-10.6666666666667,11.832212,0,856.493713753847,17.491096
"2295","0CO",2023-12-06 00:55:00,24.8,12.2,58.22,320,19,0,30.55,NA,10,28,"CLR",2023-12-06,"00:55","2023/12/06 00",-4.33333333333333,-11,9.60295466666667,0,856.493713753847,NA
"2296","0CO",2023-12-06 01:55:00,26.6,10.4,49.88,330,23,0,30.54,NA,10,30,"CLR",2023-12-06,"01:55","2023/12/06 01",-3.66666666666667,-11.6666666666667,10.28888,0,856.400261084588,NA
"2297","0CO",2023-12-06 02:55:00,26.6,8.6,46.02,330,20,0,30.53,NA,10,26,"CLR",2023-12-06,"02:55","2023/12/06 02",-3,-12.6666666666667,10.803324,0,856.119903076813,15.947764
"2298","0CO",2023-12-06 03:55:00,26.6,6.8,42.42,330,16,0,30.53,NA,10,24,"CLR",2023-12-06,"03:55","2023/12/06 03",-3,-13.3333333333333,9.08851066666667,0,856.026450407555,14.404432
"2299","0CO",2023-12-06 04:55:00,26.6,5,39.08,330,18,0,30.53,NA,10,22,"CLR",2023-12-06,"04:55","2023/12/06 04",-3,-15,9.08851066666667,0,855.839545069038,12.8611
"2300","0CO",2023-12-06 05:55:00,26.6,5,39.08,350,11,0,30.52,NA,10,22,"CLR",2023-12-06,"05:55","2023/12/06 05",-2.66666666666667,-15.6666666666667,7.71666,0,855.746092399779,12.8611
"2301","0CO",2023-12-06 06:55:00,24.8,6.8,45.71,350,15,0,30.51,NA,10,22,"CLR",2023-12-06,"06:55","2023/12/06 06",-3.33333333333333,-14.6666666666667,7.71666,0,855.465734392004,15.43332
"2302","0CO",2023-12-06 07:55:00,26.6,5,39.08,330,19,0,30.5,NA,10,30,"CLR",2023-12-06,"07:55","2023/12/06 07",-3.66666666666667,-14,9.43147333333333,0,855.09192371497,15.43332
"2303","0CO",2023-12-06 08:55:00,26.6,6.8,42.42,320,19,0,30.5,NA,10,27,"CLR",2023-12-06,"08:55","2023/12/06 08",-3,-14.6666666666667,10.1173986666667,0,854.998471045711,14.918876
"2304","0CO",2023-12-06 09:55:00,26.6,5,39.08,330,21,0,30.49,NA,10,28,"CLR",2023-12-06,"09:55","2023/12/06 09",-2.33333333333333,-15.6666666666667,10.6318426666667,0,854.905018376453,14.918876
"2305","0CO",2023-12-06 10:55:00,26.6,8.6,46.02,330,19,0,30.47,NA,10,30,"CLR",2023-12-06,"10:55","2023/12/06 10",-3,-13.3333333333333,10.28888,0,854.531207699419,15.43332
"2306","0CO",2023-12-06 11:55:00,26.6,10.4,49.88,330,17,0,30.44,NA,10,24,"CLR",2023-12-06,"11:55","2023/12/06 11",-3,-12.6666666666667,9.43147333333333,0,853.783586345351,16.462208
"2307","0CO",2023-12-06 12:55:00,26.6,10.4,49.88,340,18,0,30.42,NA,10,24,"CLR",2023-12-06,"12:55","2023/12/06 12",-3,-12,8.57406666666667,0,853.129417660542,12.346656
"2308","0CO",2023-12-06 13:55:00,26.6,10.4,49.88,340,16,0,30.39,NA,10,24,"CLR",2023-12-06,"13:55","2023/12/06 13",-2.66666666666667,-12,9.08851066666667,0,852.288343637216,12.346656
"2309","0CO",2023-12-06 14:55:00,26.6,10.4,49.88,340,23,0,30.38,NA,10,NA,"CLR",2023-12-06,"14:55","2023/12/06 14",-3,-12,11.317768,0,851.727627621665,NA
"2310","0CO",2023-12-06 15:55:00,26.6,10.4,49.88,330,20,0,30.37,NA,10,24,"CLR",2023-12-06,"15:55","2023/12/06 15",-3,-12,10.4603613333333,0,851.634174952407,NA
"2311","0CO",2023-12-06 16:55:00,24.8,8.6,49.59,340,16,0,30.36,NA,10,21,"CLR",2023-12-06,"16:55","2023/12/06 16",-3.66666666666667,-12.6666666666667,8.05962266666667,0,851.166911606114,12.346656
"2312","0CO",2023-12-06 17:55:00,26.6,6.8,42.42,340,9,0,30.34,NA,10,21,"CLR",2023-12-06,"17:55","2023/12/06 17",-3.66666666666667,-13.3333333333333,6.00184666666667,0,850.79310092908,10.803324
"2313","0CO",2023-12-06 18:55:00,26.6,5,39.08,320,17,0,30.31,NA,10,23,"CLR",2023-12-06,"18:55","2023/12/06 18",-3,-15.6666666666667,9.08851066666667,0,849.858574236496,13.375544
"2314","0CO",2023-12-06 19:55:00,26.6,1.4,33.09,320,17,0,30.28,NA,10,27,"CLR",2023-12-06,"19:55","2023/12/06 19",-3,-16.3333333333333,9.259992,0,849.110952882428,NA
"2315","0CO",2023-12-06 20:55:00,28.4,-5.8,21.84,NA,NA,0,30.25,NA,10,NA,"CLR",2023-12-06,"20:55","2023/12/06 20",-2,-19.3333333333333,NA,0,848.36333152836,NA
"2316","0CO",2023-12-06 21:55:00,30.2,-13,14.24,280,22,0,30.23,NA,10,30,"CLR",2023-12-06,"21:55","2023/12/06 21",-1.33333333333333,-23.3333333333333,10.9748053333333,0,847.709162843551,15.43332
"2317","0CO",2023-12-06 22:55:00,26.6,-4,25.65,310,17,0,30.21,NA,10,21,"CLR",2023-12-06,"22:55","2023/12/06 22",-2,-22,8.231104,0,847.241899497259,13.889988
"2318","0CO",2023-12-06 23:55:00,26.6,-4,25.65,300,27,0,30.16,NA,10,34,"CLR",2023-12-06,"23:55","2023/12/06 23",-3,-20.3333333333333,12.5181373333333,0,846.120467466157,17.491096
"2319","0CO",2023-12-07 00:55:00,26.6,-5.8,23.52,300,21,0,30.13,NA,10,28,"CLR",2023-12-07,"00:55","2023/12/07 00",-3,-21,11.317768,0,844.999035435055,15.947764
"2320","0CO",2023-12-07 01:55:00,26.6,5,39.08,280,28,0,30.09,NA,10,38,"CLR",2023-12-07,"01:55","2023/12/07 01",-3.66666666666667,-16,13.2040626666667,0,843.971056073212,19.548872
"2321","0CO",2023-12-07 02:55:00,26.6,5,39.08,280,18,0,30.07,NA,10,36,"CLR",2023-12-07,"02:55","2023/12/07 02",-3,-15,10.803324,0,843.316887388403,19.548872
"2322","0CO",2023-12-07 03:55:00,24.8,5,42.11,310,27,0,30,NA,10,39,"CLR",2023-12-07,"03:55","2023/12/07 03",-3,-14.3333333333333,14.7473946666667,0,841.447834003234,24.693312
"2323","0CO",2023-12-07 04:55:00,24.8,6.8,45.71,280,50,0,29.9,NA,5,64,"CLR",2023-12-07,"04:55","2023/12/07 04",-4.33333333333333,-14.3333333333333,23.8359053333333,0,839.018064602514,32.924416
"2324","0CO",2023-12-07 05:55:00,23,8.6,53.47,280,46,0,29.87,NA,10,65,"CLR",2023-12-07,"05:55","2023/12/07 05",-5,-12.6666666666667,23.4929426666667,0,837.896632571412,37.039968
"2325","0CO",2023-12-07 06:55:00,21.2,10.4,62.53,280,48,0,29.84,NA,7,66,"CLR",2023-12-07,"06:55","2023/12/07 06",-5.66666666666667,-12.3333333333333,22.635536,0,837.522821894378,33.953304
"2326","0CO",2023-12-07 07:55:00,21.2,10.4,62.53,290,44,0,29.84,NA,3,67,"CLR",2023-12-07,"07:55","2023/12/07 07",-6,-12,27.0940506666667,0,836.027579186243,36.01108
"2327","0CO",2023-12-07 08:55:00,21.2,12.2,67.73,290,41,0,29.84,NA,10,56,"SCT",2023-12-07,"08:55","2023/12/07 08",-6,-11.6666666666667,20.57776,0,836.868653209569,33.43886
"2328","0CO",2023-12-07 09:55:00,21.2,12.2,67.73,270,41,0,29.89,NA,10,59,"CLR",2023-12-07,"09:55","2023/12/07 09",-6,-11,22.4640546666667,0,837.242463886603,32.924416
"2329","0CO",2023-12-07 10:55:00,21.2,12.2,67.73,280,37,0,29.89,NA,10,56,"CLR",2023-12-07,"10:55","2023/12/07 10",-6,-11.3333333333333,21.7781293333333,0,837.242463886603,33.43886
"2330","0CO",2023-12-07 11:55:00,21.2,10.4,62.53,280,49,0,29.82,NA,10,63,"SCT",2023-12-07,"11:55","2023/12/07 11",-6,-12,21.092204,0,837.055558548086,32.409972
"2331","0CO",2023-12-07 12:55:00,19.4,10.4,67.51,300,42,0,29.82,NA,10,53,"SCT",2023-12-07,"12:55","2023/12/07 12",-6.66666666666667,-11.6666666666667,19.8918346666667,0,836.588295201793,29.323308
"2332","0CO",2023-12-07 13:55:00,19.4,10.4,67.51,300,27,0,29.87,NA,7,51,"SCT",2023-12-07,"13:55","2023/12/07 13",-7,-12,18.519984,0,836.588295201793,27.779976
"2333","0CO",2023-12-07 14:55:00,19.4,10.4,67.51,290,26,0,29.89,NA,10,33,"SCT",2023-12-07,"14:55","2023/12/07 14",-7,-11.6666666666667,12.5181373333333,0,837.803179902154,22.635536
"2334","0CO",2023-12-07 15:55:00,19.4,10.4,67.51,290,13,0,29.92,NA,10,32,"BKN",2023-12-07,"15:55","2023/12/07 15",-7,-12.6666666666667,11.317768,0,838.363895917704,20.063316
"2335","0CO",2023-12-07 16:55:00,17.6,8.6,67.28,290,26,0,29.91,NA,10,39,"BKN",2023-12-07,"16:55","2023/12/07 16",-7.33333333333333,-13,15.0903573333333,0,838.176990579187,23.664424
"2336","0CO",2023-12-07 17:55:00,17.6,6.8,62.02,280,36,0,29.87,NA,10,49,"SCT",2023-12-07,"17:55","2023/12/07 17",-8,-13.6666666666667,16.8051706666667,0,837.896632571412,25.207756
"2337","0CO",2023-12-07 18:55:00,15.8,10.4,78.84,280,32,0,29.86,NA,5,45,"SCT",2023-12-07,"18:55","2023/12/07 18",-8.66666666666667,-12.6666666666667,14.7473946666667,0,837.522821894378,25.207756
"2338","0CO",2023-12-07 19:55:00,14,10.4,85.28,280,27,0,29.86,NA,5,51,"SCT",2023-12-07,"19:55","2023/12/07 19",-9.66666666666667,-12.3333333333333,16.1192453333333,0,837.055558548086,26.236644
"2339","0CO",2023-12-07 20:55:00,14,12.2,92.38,280,32,0,29.83,NA,1,44,"BKN",2023-12-07,"20:55","2023/12/07 20",-10,-11.3333333333333,16.8051706666667,0,836.401389863277,24.693312
"2340","0CO",2023-12-07 21:55:00,12.2,10.4,92.32,310,25,0,29.82,NA,0.25,36,"OVC",2023-12-07,"21:55","2023/12/07 21",-10.3333333333333,-12,13.0325813333333,0,836.121031855501,NA
"2341","0CO",2023-12-07 22:55:00,10.4,8.6,92.25,320,19,0,29.82,NA,0.25,37,"OVC",2023-12-07,"22:55","2023/12/07 22",-11.3333333333333,-12.6666666666667,12.5181373333333,0,835.840673847726,21.092204
"2342","0CO",2023-12-07 23:55:00,12.2,10.4,92.32,290,35,0,29.78,NA,0.5,47,"BKN",2023-12-07,"23:55","2023/12/07 23",-11.3333333333333,-12.3333333333333,15.0903573333333,0,835.186505162917,25.207756
"2343","0CO",2023-12-08 00:55:00,8.6,5,84.93,340,20,0,29.77,NA,0.25,30,"OVC",2023-12-08,"00:55","2023/12/08 00",-12.3333333333333,-14,11.832212,0,834.719241816624,21.606648
"2344","0CO",2023-12-08 01:55:00,8.6,5,84.93,340,23,0,29.77,NA,0.25,32,"OVC",2023-12-08,"01:55","2023/12/08 01",-13,-15,10.9748053333333,0,834.719241816624,16.462208
"2345","0CO",2023-12-08 02:55:00,8.6,3.2,78.18,360,11,0,29.77,NA,0.25,21,"OVC",2023-12-08,"02:55","2023/12/08 02",-13,-15.3333333333333,8.231104,0,834.532336478107,15.43332
"2346","0CO",2023-12-08 03:55:00,6.8,3.2,84.8,350,15,0,29.76,NA,0.25,23,"OVC",2023-12-08,"03:55","2023/12/08 03",-14,-16,7.37369733333333,0,834.532336478107,12.8611
"2347","0CO",2023-12-08 04:55:00,6.8,3.2,84.8,330,21,0,29.74,NA,0.5,28,"OVC",2023-12-08,"04:55","2023/12/08 04",-14,-16,10.6318426666667,0,833.971620462556,14.918876
"2348","0CO",2023-12-08 05:55:00,5,3.2,92.06,NA,NA,0,29.74,NA,0.5,NA,"OVC",2023-12-08,"05:55","2023/12/08 05",-14.3333333333333,-16,NA,0,833.878167793298,NA
"2349","0CO",2023-12-08 06:55:00,5,1.4,84.68,300,19,0,29.74,NA,7,32,"CLR",2023-12-08,"06:55","2023/12/08 06",-15,-17,11.1462866666667,0,833.78471512404,NA
"2350","0CO",2023-12-08 07:55:00,5,1.4,84.68,320,18,0,29.74,NA,5,30,"SCT",2023-12-08,"07:55","2023/12/08 07",-15.6666666666667,-17,10.9748053333333,0,833.691262454781,18.00554
"2351","0CO",2023-12-08 08:55:00,5,1.4,84.68,320,16,0,29.74,NA,0.25,NA,"OVC",2023-12-08,"08:55","2023/12/08 08",-15,-17,7.88814133333333,0,833.78471512404,NA
"2352","0CO",2023-12-08 09:55:00,5,1.4,84.68,310,15,0,29.75,NA,10,NA,"OVC",2023-12-08,"09:55","2023/12/08 09",-15,-17,7.03073466666667,0,834.065073131815,NA
"2353","0CO",2023-12-08 10:55:00,6.8,3.2,84.8,300,19,0,29.74,NA,2,24,"SCT",2023-12-08,"10:55","2023/12/08 10",-14.6666666666667,-16.6666666666667,8.231104,0,833.878167793298,NA
"2354","0CO",2023-12-08 11:55:00,8.6,5,84.93,310,12,0,29.71,NA,1.25,20,"OVC",2023-12-08,"11:55","2023/12/08 11",-13.6666666666667,-15.6666666666667,8.05962266666667,0,833.13054643923,12.346656
"2355","0CO",2023-12-08 12:55:00,8.6,5,84.93,340,13,0,29.7,NA,0.25,NA,"OVC",2023-12-08,"12:55","2023/12/08 12",-13,-15,6.34480933333333,0,832.756735762196,NA
"2356","0CO",2023-12-08 13:55:00,8.6,5,84.93,340,9,0,29.7,NA,0.25,15,"OVC",2023-12-08,"13:55","2023/12/08 13",-13,-15.6666666666667,4.80147733333333,0,832.663283092938,10.28888
"2357","0CO",2023-12-08 14:55:00,6.8,3.2,84.8,50,4,0,29.71,NA,0.25,NA,"OVC",2023-12-08,"14:55","2023/12/08 14",-13.6666666666667,-15.6666666666667,1.88629466666667,0,832.850188431455,NA
"2358","0CO",2023-12-08 15:55:00,5,1.4,84.68,0,0,0,29.73,NA,2,NA,"BKN",2023-12-08,"15:55","2023/12/08 15",-15,-17,1.028888,0,833.223999108489,NA
"2359","0CO",2023-12-08 16:55:00,5,1.4,84.68,350,9,0.01,29.75,NA,0.25,15,"OVC",2023-12-08,"16:55","2023/12/08 16",-15,-16.6666666666667,3.42962666666667,1.524,833.971620462556,NA
"2360","0CO",2023-12-08 17:55:00,5,1.4,84.68,320,17,0,29.76,NA,0.75,26,"OVC",2023-12-08,"17:55","2023/12/08 17",-15,-17,7.71666,0,834.34543113959,13.375544
"2361","0CO",2023-12-08 18:55:00,3.2,1.4,91.99,10,4,0,29.78,NA,0.5,17,"OVC",2023-12-08,"18:55","2023/12/08 18",-15.3333333333333,-17,4.45851466666667,0,834.719241816624,10.803324
"2362","0CO",2023-12-08 19:55:00,3.2,-0.4,84.56,340,15,0,29.8,NA,0.5,21,"OVC",2023-12-08,"19:55","2023/12/08 19",-16,-18,6.85925333333333,0,835.279957832175,10.803324
"2363","0CO",2023-12-08 20:55:00,1.4,-2.2,84.43,350,14,0,29.81,NA,0.5,23,"OVC",2023-12-08,"20:55","2023/12/08 20",-16.6666666666667,-18.6666666666667,5.31592133333333,0,835.747221178467,NA
"2364","0CO",2023-12-08 21:55:00,1.4,-4,77.49,360,9,0,29.83,NA,0.5,17,"OVC",2023-12-08,"21:55","2023/12/08 21",-17,-19.3333333333333,6.51629066666667,0,836.027579186243,12.346656
"2365","0CO",2023-12-08 22:55:00,1.4,-4,77.49,340,11,0,29.86,NA,0.75,16,"OVC",2023-12-08,"22:55","2023/12/08 22",-17,-20,6.85925333333333,0,836.77520054031,11.832212
"2366","0CO",2023-12-08 23:55:00,1.4,-4,77.49,360,6,0,29.86,NA,1,NA,"OVC",2023-12-08,"23:55","2023/12/08 23",-17,-20,5.14444,0,837.149011217344,NA
"2367","0CO",2023-12-09 00:55:00,-0.4,-4,84.3,360,10,0,29.87,NA,0.5,21,"OVC",2023-12-09,"00:55","2023/12/09 00",-17.6666666666667,-20,5.48740266666667,0,837.335916555861,11.317768
"2368","0CO",2023-12-09 01:55:00,-0.4,-5.8,77.32,360,7,0,29.9,NA,1,17,"OVC",2023-12-09,"01:55","2023/12/09 01",-18,-20.3333333333333,4.28703333333333,0,837.896632571412,10.28888
"2369","0CO",2023-12-09 02:55:00,-0.4,-5.8,77.32,360,5,0.01,29.92,NA,0.75,NA,"OVC",2023-12-09,"02:55","2023/12/09 02",-18,-21,2.22925733333333,1.524,838.737706594738,NA
"2370","0CO",2023-12-09 03:55:00,-2.2,-5.8,84.17,360,6,0,29.95,NA,1.25,NA,"BKN",2023-12-09,"03:55","2023/12/09 03",-18.6666666666667,-21,5.14444,0,839.298422610289,NA
"2371","0CO",2023-12-09 04:55:00,-4,-7.6,84.04,360,5,0,29.97,NA,0.75,NA,"OVC",2023-12-09,"04:55","2023/12/09 04",-19.3333333333333,-21.6666666666667,4.629996,0,840.046043964357,NA
"2372","0CO",2023-12-09 05:55:00,-4,-7.6,84.04,330,16,0,30,NA,2.5,NA,"SCT",2023-12-09,"05:55","2023/12/09 05",-20,-22,7.37369733333333,0,840.700212649166,NA
"2373","0CO",2023-12-09 06:55:00,-2.2,-7.6,77.14,340,17,0,30.03,NA,0.75,23,"OVC",2023-12-09,"06:55","2023/12/09 06",-19.6666666666667,-22,9.43147333333333,0,841.447834003234,11.832212
"2374","0CO",2023-12-09 07:55:00,-2.2,-5.8,84.17,360,10,0,30.06,NA,0.25,26,"OVC",2023-12-09,"07:55","2023/12/09 07",-19,-21.3333333333333,6.51629066666667,0,842.382360695818,13.375544
"2375","0CO",2023-12-09 08:55:00,-2.2,-5.8,84.17,350,16,0,30.09,NA,0.25,24,"OVC",2023-12-09,"08:55","2023/12/09 08",-19,-21,4.97295866666667,0,843.410340057662,12.346656
"2376","0CO",2023-12-09 09:55:00,-0.4,-5.8,77.32,10,9,0,30.13,NA,0.25,25,"OVC",2023-12-09,"09:55","2023/12/09 09",-18.3333333333333,-21,4.45851466666667,0,844.438319419505,12.8611
"2377","0CO",2023-12-09 10:55:00,-0.4,-5.8,77.32,350,15,0,30.14,NA,0.25,30,"OVC",2023-12-09,"10:55","2023/12/09 10",-18,-21,7.71666,0,844.71867742728,15.43332
"2378","0CO",2023-12-09 11:55:00,-0.4,-4,84.3,10,7,0.01,30.14,NA,0.25,19,"OVC",2023-12-09,"11:55","2023/12/09 11",-18,-20.3333333333333,3.42962666666667,0.762,844.999035435055,11.832212
"2379","0CO",2023-12-09 12:55:00,1.4,-4,77.49,360,11,0,30.14,NA,0.25,24,"OVC",2023-12-09,"12:55","2023/12/09 12",-17.6666666666667,-20,5.48740266666667,0,844.999035435055,12.346656
"2380","0CO",2023-12-09 13:55:00,-0.4,-4,84.3,310,24,0,30.12,NA,0.25,32,"BKN",2023-12-09,"13:55","2023/12/09 13",-17.6666666666667,-20,9.94591733333333,0,844.71867742728,16.462208
